title,outline,director,rate
아임 히어로 더 파이널,다큐멘터리,오윤동,관람객 평점 9.86점
더 퍼스트 슬램덩크,애니메이션,이노우에 다케히코,관람객 평점 9.28점
다음 소희,드라마,정주리,관람객 평점 8.77점
로마의 휴일,코미디,윌리엄 와일러,관람객 평점 9.75점
벤허,드라마,윌리엄 와일러,관람객 평점 9.36점
극장판 주술회전 0,애니메이션,박성후,관람객 평점 8.97점
킹 오브 프리즘,드라마,히시다 마사카즈,관람객 평점 9.73점
카시오페아,드라마,신연식,관람객 평점 8.44점
킹 오브 프리즘 프라이드 더 히어로,애니메이션,히시다 마사카즈,관람객 평점 9.83점
탄생,드라마,박흥식,관람객 평점 8.23점
꽃다발 같은 사랑을 했다,멜로/로맨스,도이 노부히로,관람객 평점 8.52점
십계,드라마,세실 B. 데밀,관람객 평점 없음
"안녕, 나의 소울메이트",드라마,증국상,관람객 평점 8.81점
영웅,드라마,윤제균,관람객 평점 8.43점
파벨만스,드라마,스티븐 스필버그,관람객 평점 8.87점
장화신은 고양이: 끝내주는 모험,애니메이션,조엘 크로포드,관람객 평점 8.42점
너의 이름은.,애니메이션,신카이 마코토,관람객 평점 9.02점
서치 2,미스터리,니콜라스 D. 존슨,관람객 평점 8.33점
두다다쿵: 후후섬의 비밀,애니메이션,최병선,관람객 평점 8.23점
소울메이트,드라마,민용근,관람객 평점 8.02점
